title,image,productlink,category,colour,gender,price
Alan Jones Clothing Men's Slim Fit Polo T-Shirt,https://m.media-amazon.com/images/I/31gMxtctxGL.jpg,https://www.amazon.in/Alan-Jones-Clothing-T-Shirt-Royal_XXL/dp/B08L588Y3Z/ref=sr_1_46?dib=eyJ2IjoiMSJ9.b8J8PJjNGbswSNlWHGPbHD6nrI2qNWhUqTNPW3kQ9cUKLSrdpVZeDCeuZGOIBa2H6_-hk2uJlEzFZsG0H4si9C8spaRHGblq8b5BClX_bRhigc3sztlfa2zr4-AQ4GCQ3v7DBz0yLkmr8MlqFOeDp8UFz-9mQ3SbDrgNqcppcsLtHImOnKSwe7zrWenD84DQTliH9KIfqrfbG0PiUs2cm7YSv_eWOsPGdRWBHjmoK3y4E_4D0i9nH52Smpihjrlbvk7eV1WDgjYqAqV_ORXF0gvVgQ5gGFxiJ3a_iqJf1yU.SvTQ-JzqAvDyc7PN-AWV6qo3sqevwTAnqQpvhX6qdJE&dib_tag=se&keywords=royal+blue+tshirt+for+men&qid=1708844816&sr=8-46,tshirts,blue,men,399
CHKOKKO Men's Round Neck Regular Dry Fit Gym Sports T-Shirt,https://m.media-amazon.com/images/I/317rAj5e+sL.jpg,https://www.amazon.in/CHKOKKO-Sleeves-Regular-Sports-T-Shirt/dp/B08Z79Z19M/ref=sr_1_45?dib=eyJ2IjoiMSJ9.b8J8PJjNGbswSNlWHGPbHD6nrI2qNWhUqTNPW3kQ9cUKLSrdpVZeDCeuZGOIBa2H6_-hk2uJlEzFZsG0H4si9C8spaRHGblq8b5BClX_bRhigc3sztlfa2zr4-AQ4GCQ3v7DBz0yLkmr8MlqFOeDp8UFz-9mQ3SbDrgNqcppcsLtHImOnKSwe7zrWenD84DQTliH9KIfqrfbG0PiUs2cm7YSv_eWOsPGdRWBHjmoK3y4E_4D0i9nH52Smpihjrlbvk7eV1WDgjYqAqV_ORXF0gvVgQ5gGFxiJ3a_iqJf1yU.SvTQ-JzqAvDyc7PN-AWV6qo3sqevwTAnqQpvhX6qdJE&dib_tag=se&keywords=royal+blue+tshirt+for+men&qid=1708844816&sr=8-45,tshirts,blue,men,420
AUSK T-Shirt for Mens Double Stripes on Chest,https://m.media-amazon.com/images/I/41KzQ05h24L.jpg,https://www.amazon.in/AUSK-T-Shirt-Double-Stripes-Color-Royal/dp/B0CC96XVW4/ref=sr_1_44?dib=eyJ2IjoiMSJ9.b8J8PJjNGbswSNlWHGPbHD6nrI2qNWhUqTNPW3kQ9cUKLSrdpVZeDCeuZGOIBa2H6_-hk2uJlEzFZsG0H4si9C8spaRHGblq8b5BClX_bRhigc3sztlfa2zr4-AQ4GCQ3v7DBz0yLkmr8MlqFOeDp8UFz-9mQ3SbDrgNqcppcsLtHImOnKSwe7zrWenD84DQTliH9KIfqrfbG0PiUs2cm7YSv_eWOsPGdRWBHjmoK3y4E_4D0i9nH52Smpihjrlbvk7eV1WDgjYqAqV_ORXF0gvVgQ5gGFxiJ3a_iqJf1yU.SvTQ-JzqAvDyc7PN-AWV6qo3sqevwTAnqQpvhX6qdJE&dib_tag=se&keywords=royal+blue+tshirt+for+men&qid=1708844816&sr=8-44,tshirts,blue,men,249
U.S. POLO ASSN. Mens V-Neck Embroidered Logo I638 Lounge T-Shirt (Pack of 1),https://m.media-amazon.com/images/I/41URgwljKjL.jpg,https://www.amazon.in/U-S-V-Neck-Embroidered-Lounge-T-Shirt/dp/B08ZJHZ43Q/ref=sr_1_43?dib=eyJ2IjoiMSJ9.b8J8PJjNGbswSNlWHGPbHD6nrI2qNWhUqTNPW3kQ9cUKLSrdpVZeDCeuZGOIBa2H6_-hk2uJlEzFZsG0H4si9C8spaRHGblq8b5BClX_bRhigc3sztlfa2zr4-AQ4GCQ3v7DBz0yLkmr8MlqFOeDp8UFz-9mQ3SbDrgNqcppcsLtHImOnKSwe7zrWenD84DQTliH9KIfqrfbG0PiUs2cm7YSv_eWOsPGdRWBHjmoK3y4E_4D0i9nH52Smpihjrlbvk7eV1WDgjYqAqV_ORXF0gvVgQ5gGFxiJ3a_iqJf1yU.SvTQ-JzqAvDyc7PN-AWV6qo3sqevwTAnqQpvhX6qdJE&dib_tag=se&keywords=royal+blue+tshirt+for+men&qid=1708844816&sr=8-43,tshirts,blue,men,629
Integriti Men's Slim Fit T-Shirt,https://m.media-amazon.com/images/I/41QOLZPfthS.jpg,https://www.amazon.in/Integriti-T-Shirt-INT-T-CT-127_Navy-Royal-LT-Blue/dp/B096W128MC/ref=sr_1_42?dib=eyJ2IjoiMSJ9.b8J8PJjNGbswSNlWHGPbHD6nrI2qNWhUqTNPW3kQ9cUKLSrdpVZeDCeuZGOIBa2H6_-hk2uJlEzFZsG0H4si9C8spaRHGblq8b5BClX_bRhigc3sztlfa2zr4-AQ4GCQ3v7DBz0yLkmr8MlqFOeDp8UFz-9mQ3SbDrgNqcppcsLtHImOnKSwe7zrWenD84DQTliH9KIfqrfbG0PiUs2cm7YSv_eWOsPGdRWBHjmoK3y4E_4D0i9nH52Smpihjrlbvk7eV1WDgjYqAqV_ORXF0gvVgQ5gGFxiJ3a_iqJf1yU.SvTQ-JzqAvDyc7PN-AWV6qo3sqevwTAnqQpvhX6qdJE&dib_tag=se&keywords=royal+blue+tshirt+for+men&qid=1708844816&sr=8-42,tshirts,blue,men,"1,028"
ADRO Mens Attack on Titan Cotton T-Shirt,https://m.media-amazon.com/images/I/419YDbC1lDL.jpg,https://www.amazon.in/ADRO-Attack-Titan-Cotton-T-Shirt/dp/B0B4PCGQCL/ref=sr_1_41?dib=eyJ2IjoiMSJ9.b8J8PJjNGbswSNlWHGPbHD6nrI2qNWhUqTNPW3kQ9cUKLSrdpVZeDCeuZGOIBa2H6_-hk2uJlEzFZsG0H4si9C8spaRHGblq8b5BClX_bRhigc3sztlfa2zr4-AQ4GCQ3v7DBz0yLkmr8MlqFOeDp8UFz-9mQ3SbDrgNqcppcsLtHImOnKSwe7zrWenD84DQTliH9KIfqrfbG0PiUs2cm7YSv_eWOsPGdRWBHjmoK3y4E_4D0i9nH52Smpihjrlbvk7eV1WDgjYqAqV_ORXF0gvVgQ5gGFxiJ3a_iqJf1yU.SvTQ-JzqAvDyc7PN-AWV6qo3sqevwTAnqQpvhX6qdJE&dib_tag=se&keywords=royal+blue+tshirt+for+men&qid=1708844816&sr=8-41,tshirts,blue,men,349
ONN Men's Half Sleeves Round Neck 100% Cotton T-Shirt,https://m.media-amazon.com/images/I/31dh44a7p1L.jpg,https://www.amazon.in/ONN-Royal-Sleeves-Round-T-Shirt/dp/B0BB9FKN11/ref=sr_1_40?dib=eyJ2IjoiMSJ9.b8J8PJjNGbswSNlWHGPbHD6nrI2qNWhUqTNPW3kQ9cUKLSrdpVZeDCeuZGOIBa2H6_-hk2uJlEzFZsG0H4si9C8spaRHGblq8b5BClX_bRhigc3sztlfa2zr4-AQ4GCQ3v7DBz0yLkmr8MlqFOeDp8UFz-9mQ3SbDrgNqcppcsLtHImOnKSwe7zrWenD84DQTliH9KIfqrfbG0PiUs2cm7YSv_eWOsPGdRWBHjmoK3y4E_4D0i9nH52Smpihjrlbvk7eV1WDgjYqAqV_ORXF0gvVgQ5gGFxiJ3a_iqJf1yU.SvTQ-JzqAvDyc7PN-AWV6qo3sqevwTAnqQpvhX6qdJE&dib_tag=se&keywords=royal+blue+tshirt+for+men&qid=1708844816&sr=8-40,tshirts,blue,men,399
ADRO Men's Budha Gold Printed Cotton T-Shirt,https://m.media-amazon.com/images/I/41f8NEUApZL.jpg,https://www.amazon.in/ADRO-Budha-Printed-Cotton-T-Shirt/dp/B0BSFGRBML/ref=sr_1_39?dib=eyJ2IjoiMSJ9.b8J8PJjNGbswSNlWHGPbHD6nrI2qNWhUqTNPW3kQ9cUKLSrdpVZeDCeuZGOIBa2H6_-hk2uJlEzFZsG0H4si9C8spaRHGblq8b5BClX_bRhigc3sztlfa2zr4-AQ4GCQ3v7DBz0yLkmr8MlqFOeDp8UFz-9mQ3SbDrgNqcppcsLtHImOnKSwe7zrWenD84DQTliH9KIfqrfbG0PiUs2cm7YSv_eWOsPGdRWBHjmoK3y4E_4D0i9nH52Smpihjrlbvk7eV1WDgjYqAqV_ORXF0gvVgQ5gGFxiJ3a_iqJf1yU.SvTQ-JzqAvDyc7PN-AWV6qo3sqevwTAnqQpvhX6qdJE&dib_tag=se&keywords=royal+blue+tshirt+for+men&qid=1708844816&sr=8-39,tshirts,blue,men,349
Puma Men's T-Shirt,https://m.media-amazon.com/images/I/31L6bfgIu-L.jpg,https://www.amazon.in/Printed-Regular-T-Shirt-58666858-Royal/dp/B08V5KXQVZ/ref=sr_1_38?dib=eyJ2IjoiMSJ9.b8J8PJjNGbswSNlWHGPbHD6nrI2qNWhUqTNPW3kQ9cUKLSrdpVZeDCeuZGOIBa2H6_-hk2uJlEzFZsG0H4si9C8spaRHGblq8b5BClX_bRhigc3sztlfa2zr4-AQ4GCQ3v7DBz0yLkmr8MlqFOeDp8UFz-9mQ3SbDrgNqcppcsLtHImOnKSwe7zrWenD84DQTliH9KIfqrfbG0PiUs2cm7YSv_eWOsPGdRWBHjmoK3y4E_4D0i9nH52Smpihjrlbvk7eV1WDgjYqAqV_ORXF0gvVgQ5gGFxiJ3a_iqJf1yU.SvTQ-JzqAvDyc7PN-AWV6qo3sqevwTAnqQpvhX6qdJE&dib_tag=se&keywords=royal+blue+tshirt+for+men&qid=1708844816&sr=8-38,tshirts,blue,men,699
London Hills Solid Sports Tshirt for Men | Round Neck Tshirt | Half Sleeve Sports T-Shirt,https://m.media-amazon.com/images/I/31L63CGzkiL.jpg,https://www.amazon.in/London-Hills-Solid-Round-T-Shirt/dp/B09RHFGKRS/ref=sr_1_37?dib=eyJ2IjoiMSJ9.b8J8PJjNGbswSNlWHGPbHD6nrI2qNWhUqTNPW3kQ9cUKLSrdpVZeDCeuZGOIBa2H6_-hk2uJlEzFZsG0H4si9C8spaRHGblq8b5BClX_bRhigc3sztlfa2zr4-AQ4GCQ3v7DBz0yLkmr8MlqFOeDp8UFz-9mQ3SbDrgNqcppcsLtHImOnKSwe7zrWenD84DQTliH9KIfqrfbG0PiUs2cm7YSv_eWOsPGdRWBHjmoK3y4E_4D0i9nH52Smpihjrlbvk7eV1WDgjYqAqV_ORXF0gvVgQ5gGFxiJ3a_iqJf1yU.SvTQ-JzqAvDyc7PN-AWV6qo3sqevwTAnqQpvhX6qdJE&dib_tag=se&keywords=royal+blue+tshirt+for+men&qid=1708844816&sr=8-37,tshirts,blue,men,199
